# RobinPump Green Flock -> tier mapping (GENERATED, do not hand-edit)
#
# Source   : ROBINPUMP/metadata.raw.csv + ROBINPUMP/traits.json
# Generator: scripts/generate-token-tiers.js (Model A)
# Model    : score = sum over 11 traits of 1/(trait value frequency),
#            ranked rarest-first, cut by the 1:3:9:27:81 population ratio
#            implied by the deployed rewardPerDay table.
# Tiers    : 0=Legendary 1=Epic 2=Rare 3=Uncommon 4=Common
# Bands    : Legendary 28, Epic 83, Rare 248, Uncommon 744, Common 2230
#
# Regenerate with: node scripts/generate-token-tiers.js
# Per-token scores and band boundaries: config/token-tiers.report.json
tokenId,tier
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,3
9,4
10,4
11,3
12,3
13,4
14,4
15,3
16,4
17,3
18,4
19,3
20,2
21,4
22,2
23,4
24,4
25,3
26,4
27,4
28,2
29,3
30,4
31,3
32,4
33,4
34,3
35,4
36,4
37,4
38,3
39,4
40,4
41,4
42,2
43,4
44,1
45,4
46,4
47,4
48,3
49,2
50,4
51,4
52,4
53,4
54,4
55,4
56,3
57,4
58,4
59,3
60,4
61,0
62,3
63,4
64,4
65,3
66,4
67,3
68,4
69,4
70,4
71,3
72,4
73,4
74,4
75,4
76,4
77,4
78,3
79,4
80,0
81,4
82,4
83,2
84,4
85,4
86,3
87,4
88,3
89,4
90,3
91,4
92,4
93,4
94,3
95,2
96,4
97,2
98,4
99,1
100,4
101,3
102,4
103,3
104,4
105,2
106,3
107,3
108,4
109,4
110,4
111,4
112,4
113,2
114,2
115,3
116,2
117,4
118,2
119,2
120,0
121,4
122,3
123,4
124,3
125,4
126,3
127,3
128,1
129,3
130,3
131,4
132,3
133,4
134,4
135,3
136,4
137,4
138,4
139,3
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,3
150,2
151,3
152,4
153,4
154,4
155,4
156,3
157,4
158,4
159,4
160,1
161,3
162,3
163,4
164,4
165,4
166,4
167,3
168,4
169,4
170,4
171,4
172,4
173,4
174,4
175,4
176,4
177,3
178,3
179,4
180,3
181,1
182,4
183,1
184,4
185,2
186,4
187,4
188,4
189,1
190,3
191,3
192,3
193,4
194,4
195,4
196,4
197,4
198,3
199,4
200,4
201,4
202,4
203,2
204,3
205,4
206,4
207,4
208,4
209,4
210,4
211,4
212,3
213,4
214,3
215,4
216,0
217,4
218,4
219,3
220,4
221,3
222,0
223,4
224,4
225,1
226,1
227,3
228,4
229,4
230,3
231,3
232,2
233,4
234,4
235,4
236,4
237,3
238,4
239,4
240,4
241,4
242,4
243,1
244,2
245,4
246,4
247,3
248,4
249,2
250,4
251,4
252,4
253,4
254,4
255,4
256,3
257,3
258,4
259,4
260,4
261,3
262,2
263,4
264,3
265,4
266,4
267,4
268,3
269,4
270,4
271,4
272,3
273,2
274,4
275,4
276,4
277,2
278,4
279,4
280,4
281,3
282,4
283,3
284,3
285,3
286,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,3
295,4
